score;completeness;rescuebot_action;rescuebot_location;charlie_action;charlie_location;name;competency_rescue_severelyInjured;competency_rescue_mildlyInjured;competency_arrival;willingness_search;willingness_response;willingness_rescue;world_nr;tick_nr
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;25
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;26
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;27
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;28
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;29
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;30
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;31
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;32
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;33
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;34
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;35
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;36
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;37
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;38
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;39
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;40
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;41
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;42
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;43
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;44
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;45
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;46
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;47
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;48
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;49
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;50
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;51
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;52
0;0.0;;(22, 11);;(22, 12);Charlie;1.0;0.6;0.8971229139963786;0.8;0.7;0.8999999999999999;1;53
