score;completeness;rescuebot_action;rescuebot_location;charlie_action;charlie_location;name;competency_rescue_severelyInjured;competency_rescue_mildlyInjured;competency_arrival;willingness_search;willingness_response;willingness_rescue;world_nr;tick_nr
27;0.75;MoveSouthWest;(16, 14);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8306
27;0.75;MoveSouthWest;(16, 14);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8307
27;0.75;MoveSouthWest;(15, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8308
27;0.75;MoveSouth;(15, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8309
27;0.75;MoveSouth;(15, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8310
27;0.75;MoveSouth;(15, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8311
27;0.75;MoveSouth;(15, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8312
27;0.75;MoveSouth;(15, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8313
27;0.75;MoveSouth;(15, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8314
27;0.75;MoveSouth;(15, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8315
27;0.75;MoveSouth;(15, 15);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8316
27;0.75;MoveSouth;(15, 16);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8317
27;0.75;MoveSouthWest;(15, 16);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8318
27;0.75;MoveSouthWest;(15, 16);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8319
27;0.75;MoveSouthWest;(15, 16);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8320
27;0.75;MoveSouthWest;(15, 16);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8321
27;0.75;MoveSouthWest;(15, 16);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8322
